ticker,date_bulletin,cours,per,rendement,variation_annee,dividende_montant,dividende_date
SEMC,20200430,125.0,,13.54,-3.85,16.92,29-sept.-17
SIVC,20200430,265.0,,23.77,43.24,63.0,29-sept.-17
SLBC,20200430,45000.0,56.76,3.04,0.0,1368.0,6-juin-19
SMBC,20200430,2535.0,343.66,17.75,1.4,450.0,30-août-19
STBC,20200430,525.0,,39.28,-13.22,206.2,19-juin-17
UNLC,20200430,4775.0,,,0.0,1233.0,9-juil.-12
UNXC,20200430,1260.0,6.23,14.43,-26.96,181.8,11-juil.-19
CIEC,20200430,1055.0,11.98,7.51,-34.06,79.23,9-août-19
ONTBF,20200430,3260.0,7.37,12.56,20.52,409.36,3-juin-19
SDCC,20200430,2750.0,8.38,9.82,-1.79,270.0,29-oct.-19
SNTS,20200430,13900.0,7.06,10.79,-18.21,1500.0,14-mai-19
BICC,20200430,3065.0,5.22,5.97,-54.93,182.9,17-juil.-19
BOAB,20200430,3700.0,5.0,11.24,2.49,416.0,22-mai-19
BOABF,20200430,3360.0,3.99,11.01,-11.35,370.0,4-mai-20
BOAC,20200430,3350.0,4.66,9.13,-16.15,306.0,20-mai-19
BOAM,20200430,990.0,,27.37,-13.91,271.0,15-mai-19
BOAN,20200430,3825.0,5.85,10.07,13.0,385.0,27-mai-19
BOAS,20200430,1550.0,3.27,10.32,0.32,160.0,3-juin-19
CBIBF,20200430,7600.0,8.78,5.29,-5.0,402.0,5-juil.-19
ECOC,20200430,3050.0,6.62,7.9,-23.56,241.0,15-mai-19
ETIT,20200430,13.0,1.46,9.29,-7.14,1.21,28-avr.-17
NSBC,20200430,3100.0,5.27,6.26,-52.09,194.2,9-juil.-19
ORGT,20200430,3985.0,9.29,1.42,-5.12,56.73,1-juil.-19
SAFC,20200430,340.0,,,1.49,23.04,29-juil.-11
SGBC,20200430,7800.0,4.83,2.64,1.3,206.0,31-juil.-19
SIBC,20200430,2690.0,4.79,9.37,-4.61,252.0,5-juil.-19
SDSC,20200430,1670.0,8.73,11.02,11.33,184.0,6-juin-19
PALC,20200430,1100.0,,23.04,-39.56,253.47,24-sept.-18
SCRC,20200430,555.0,,12.97,-8.26,72.0,28-sept.-18
SICC,20200430,2495.0,1.51,,-8.94,1919.0,25-sept.-00
SOGC,20200430,1800.0,8.6,7.0,-30.23,126.0,15-juil.-19
SPHC,20200430,1300.0,9.85,6.0,-0.76,78.0,27-sept.-18
ABJC,20200430,1050.0,7.59,15.71,-16.0,164.96,30-sept.-19
BNBC,20200430,750.0,11.74,6.0,7.14,45.0,19-juil.-19
CFAC,20200430,390.0,10.9,8.08,-10.34,31.5,23-juil.-19
PRSC,20200430,2900.0,14.75,5.18,7.61,150.36,18-sept.-19
SHEC,20200430,600.0,7.01,10.71,-25.0,64.29,2-août-19
TTLC,20200430,1200.0,7.25,9.03,-29.41,108.4,11-oct.-19
TTLS,20200430,1350.0,6.93,7.8,-20.59,105.3,29-juil.-19
STAC,20200430,235.0,8.64,,-4.08,,
CABC,20200529,895.0,8.31,8.38,42.06,75.0,3-juin-19
FTSC,20200529,975.0,7.41,11.28,-43.48,110.0,31-juil.-19
NEIC,20200529,115.0,2.5,,-17.86,9.0,28-juin-01
NTLC,20200529,345.0,,,-12.66,31.5,12-août-11
SEMC,20200529,110.0,,,-15.38,16.92,29-sept.-17
SIVC,20200529,210.0,,,13.51,63.0,29-sept.-17
SLBC,20200529,45000.0,56.76,3.04,0.0,1368.0,6-juin-19
SMBC,20200529,2550.0,345.7,17.65,2.0,450.0,30-août-19
STBC,20200529,500.0,1.7,,-17.36,206.2,19-juin-17
UNLC,20200529,4775.0,,,0.0,1233.0,9-juil.-12
UNXC,20200529,1140.0,5.63,15.95,-33.91,181.8,11-juil.-19
CIEC,20200529,1245.0,10.67,6.36,-22.19,79.23,9-août-19
ONTBF,20200529,3345.0,7.56,12.24,23.66,409.36,3-juin-19
SDCC,20200529,2945.0,8.98,9.17,5.18,270.0,29-oct.-19
SNTS,20200529,13485.0,6.85,9.08,-20.65,1225.0,20-mai-20
BICC,20200529,3500.0,5.96,5.23,-48.53,182.9,17-juil.-19
BOAB,20200529,3150.0,4.26,13.84,-12.74,436.0,15-mai-20
BOABF,20200529,3200.0,3.8,11.56,-15.57,370.0,4-mai-20
BOAC,20200529,3350.0,4.66,9.13,-16.15,306.0,20-mai-19
BOAM,20200529,995.0,,27.24,-13.48,271.0,15-mai-19
BOAN,20200529,3500.0,5.35,12.28,3.4,429.66,20-mai-20
BOAS,20200529,1520.0,4.0,10.53,-1.62,160.0,3-juin-19
CBIBF,20200529,7600.0,8.78,5.29,-5.0,402.0,5-juil.-19
ECOC,20200529,3100.0,6.73,7.77,-22.31,241.0,15-mai-19
ETIT,20200529,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20200529,3200.0,5.44,6.07,-50.54,194.2,9-juil.-19
ORGT,20200529,3900.0,9.09,1.45,-7.14,56.73,1-juil.-19
SAFC,20200529,330.0,,,-1.49,23.04,29-juil.-11
SGBC,20200529,7700.0,4.77,2.68,0.0,206.0,31-juil.-19
SIBC,20200529,2540.0,4.53,9.92,-9.93,252.0,5-juil.-19
SDSC,20200529,1400.0,8.12,13.14,-6.67,184.0,6-juin-19
PALC,20200529,1180.0,,21.48,-35.16,253.47,24-sept.-18
SCRC,20200529,550.0,,13.09,-9.09,72.0,28-sept.-18
SICC,20200529,2400.0,1.46,,-12.41,1919.0,25-sept.-00
SOGC,20200529,1695.0,8.1,7.43,-34.3,126.0,15-juil.-19
SPHC,20200529,1200.0,9.09,6.5,-8.4,78.0,27-sept.-18
ABJC,20200529,1000.0,7.23,16.5,-20.0,164.96,30-sept.-19
BNBC,20200529,590.0,9.24,7.63,-15.71,45.0,19-juil.-19
CFAC,20200529,410.0,14.15,7.68,-5.75,31.5,23-juil.-19
PRSC,20200529,3000.0,17.0,5.01,11.32,150.36,18-sept.-19
SHEC,20200529,600.0,7.01,10.71,-25.0,64.29,2-août-19
TTLC,20200529,1250.0,7.55,8.67,-26.47,108.4,11-oct.-19
TTLS,20200529,1400.0,7.19,7.52,-17.65,105.3,29-juil.-19
STAC,20200529,245.0,3.8,,0.0,,
CABC,20200630,820.0,7.61,9.15,30.16,75.0,3-juin-19
FTSC,20200630,1400.0,10.64,7.86,-18.84,110.0,31-juil.-19
NEIC,20200630,130.0,2.82,,-7.14,9.0,28-juin-01
NTLC,20200630,320.0,,,-18.99,31.5,12-août-11
SEMC,20200630,125.0,,,-3.85,16.92,29-sept.-17
SIVC,20200630,235.0,,,27.03,63.0,29-sept.-17
SLBC,20200630,45500.0,57.39,3.01,1.11,1368.0,6-juin-19
SMBC,20200630,2880.0,390.43,15.63,15.2,450.0,30-août-19
STBC,20200630,580.0,1.97,,-4.13,206.2,19-juin-17
UNLC,20200630,4775.0,,,0.0,1233.0,9-juil.-12
UNXC,20200630,1000.0,6.71,18.18,-42.03,181.8,11-juil.-19
CIEC,20200630,1240.0,10.63,6.39,-22.5,79.23,9-août-19
ONTBF,20200630,2990.0,6.76,12.95,10.54,387.17,10-juin-20
SDCC,20200630,3395.0,10.35,7.95,21.25,270.0,29-oct.-19
SNTS,20200630,12990.0,6.6,9.43,-23.57,1225.0,20-mai-20
BICC,20200630,4295.0,7.31,4.26,-36.84,182.9,17-juil.-19
BOAB,20200630,3800.0,5.14,11.47,5.26,436.0,15-mai-20
BOABF,20200630,3450.0,4.1,10.72,-8.97,370.0,4-mai-20
BOAC,20200630,3135.0,4.36,10.05,-21.53,315.0,15-juin-20
BOAM,20200630,1100.0,,24.64,-4.35,271.0,15-mai-19
BOAN,20200630,3720.0,5.69,11.55,9.9,429.66,20-mai-20
BOAS,20200630,1485.0,3.91,10.84,-3.88,161.0,19-juin-20
CBIBF,20200630,7650.0,8.84,5.25,-4.38,402.0,5-juil.-19
ECOC,20200630,3400.0,7.38,7.09,-14.79,241.0,15-mai-19
ETIT,20200630,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20200630,3700.0,6.3,5.25,-42.81,194.2,9-juil.-19
ORGT,20200630,3950.0,14.96,1.44,-5.95,56.73,1-juil.-19
SAFC,20200630,330.0,,,-1.49,23.04,29-juil.-11
SGBC,20200630,7650.0,4.74,2.69,-0.65,206.0,31-juil.-19
SIBC,20200630,2400.0,4.28,11.25,-14.89,270.0,19-juin-20
SDSC,20200630,1320.0,7.65,13.94,-12.0,184.0,6-juin-19
PALC,20200630,1245.0,,20.36,-31.59,253.47,24-sept.-18
SCRC,20200630,580.0,,12.41,-4.13,72.0,28-sept.-18
SICC,20200630,1965.0,1.19,,-28.28,1919.0,25-sept.-00
SOGC,20200630,1935.0,9.25,6.51,-25.0,126.0,15-juil.-19
SPHC,20200630,1100.0,8.33,7.09,-16.03,78.0,27-sept.-18
ABJC,20200630,1100.0,7.95,15.0,-12.0,164.96,30-sept.-19
BNBC,20200630,605.0,9.47,7.44,-13.57,45.0,19-juil.-19
CFAC,20200630,485.0,16.74,6.49,11.49,31.5,23-juil.-19
PRSC,20200630,3000.0,17.0,5.01,11.32,150.36,18-sept.-19
SHEC,20200630,650.0,7.6,9.89,-18.75,64.29,2-août-19
TTLC,20200630,1465.0,9.02,7.4,-13.82,108.4,11-oct.-19
TTLS,20200630,1405.0,7.86,7.49,-17.35,105.3,29-juil.-19
STAC,20200630,235.0,3.65,,-4.08,,
CABC,20200730,750.0,6.96,10.0,19.05,75.0,29-juil.-20
FTSC,20200730,1270.0,9.66,8.66,-26.38,110.0,31-juil.-19
NEIC,20200730,130.0,2.82,,-7.14,9.0,28-juin-01
NTLC,20200730,300.0,,,-24.05,31.5,12-août-11
SEMC,20200730,160.0,5.84,,23.08,16.92,29-sept.-17
SIVC,20200730,225.0,,,21.62,63.0,29-sept.-17
SLBC,20200730,45500.0,57.39,3.01,1.11,1368.0,6-juin-19
SMBC,20200730,2450.0,332.14,18.37,-2.0,450.0,30-août-19
STBC,20200730,610.0,2.07,,0.83,206.2,19-juin-17
UNLC,20200730,4775.0,,,0.0,1233.0,9-juil.-12
UNXC,20200730,940.0,6.3,19.34,-45.51,181.8,11-juil.-19
CIEC,20200730,1175.0,10.93,8.23,-20.31,104.98,5-août-20
ONTBF,20200730,2900.0,6.55,13.35,7.21,387.17,10-juin-20
SDCC,20200730,2900.0,8.84,9.31,3.57,270.0,29-oct.-19
SNTS,20200730,12000.0,6.1,10.21,-29.39,1225.0,20-mai-20
BICC,20200730,4850.0,8.25,3.77,-28.68,182.9,17-juil.-19
BOAB,20200730,3485.0,4.71,12.51,-3.46,436.0,15-mai-20
BOABF,20200730,3200.0,3.8,11.56,-15.57,370.0,4-mai-20
BOAC,20200730,3000.0,4.17,10.5,-24.91,315.0,15-juin-20
BOAM,20200730,1000.0,,27.1,-13.04,271.0,15-mai-19
BOAN,20200730,3400.0,5.2,12.64,0.44,429.66,20-mai-20
BOAS,20200730,1405.0,3.7,11.46,-9.06,161.0,19-juin-20
CBIBF,20200730,7300.0,8.44,5.75,-8.75,420.0,8-juil.-20
ECOC,20200730,2900.0,6.29,12.17,-27.32,353.0,20-juil.-20
ETIT,20200730,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20200730,3600.0,6.13,2.16,-44.36,77.69,27-juil.-20
ORGT,20200730,3800.0,14.39,1.57,-9.52,59.52,17-juil.-20
SAFC,20200730,300.0,,,-10.45,23.04,29-juil.-11
SGBC,20200730,7700.0,4.77,3.55,0.0,273.0,29-juil.-20
SIBC,20200730,2480.0,4.42,10.89,-12.06,270.0,19-juin-20
SDSC,20200730,1300.0,7.54,14.15,-13.33,184.0,6-juin-19
PALC,20200730,1160.0,,21.85,-36.26,253.47,24-sept.-18
SCRC,20200730,500.0,,14.4,-17.36,72.0,28-sept.-18
SICC,20200730,1760.0,1.07,,-35.77,1919.0,25-sept.-00
SOGC,20200730,1500.0,7.17,8.4,-41.86,126.0,15-juil.-20
SPHC,20200730,1020.0,7.72,7.65,-22.14,78.0,27-sept.-18
ABJC,20200730,1100.0,7.95,15.0,-12.0,164.96,30-sept.-19
BNBC,20200730,675.0,10.57,6.67,-3.57,45.0,19-juil.-19
CFAC,20200730,390.0,13.46,8.08,-10.34,31.5,23-juil.-19
PRSC,20200730,3000.0,17.0,5.01,11.32,150.36,18-sept.-19
SHEC,20200730,610.0,7.13,10.54,-23.75,64.29,2-août-19
TTLC,20200730,1370.0,8.43,7.91,-19.41,108.4,11-oct.-19
TTLS,20200730,1290.0,7.21,8.16,-24.12,105.3,29-juil.-19
STAC,20200730,200.0,3.1,,-18.37,,
CABC,20200831,845.0,7.84,8.88,34.13,75.0,29-juil.-20
FTSC,20200831,1240.0,9.43,10.08,-28.12,125.0,6-août-20
NEIC,20200831,150.0,3.26,,7.14,9.0,28-juin-01
NTLC,20200831,280.0,,,-29.11,31.5,12-août-11
SEMC,20200831,135.0,4.93,,3.85,16.92,29-sept.-17
SIVC,20200831,175.0,,,-5.41,63.0,29-sept.-17
SLBC,20200831,45500.0,57.39,3.01,1.11,1368.0,6-juin-19
SMBC,20200831,2500.0,338.92,18.0,0.0,450.0,30-août-19
STBC,20200831,530.0,1.8,,-12.4,206.2,19-juin-17
UNLC,20200831,4775.0,,,0.0,1233.0,9-juil.-12
UNXC,20200831,970.0,6.51,18.74,-43.77,181.8,11-juil.-19
CIEC,20200831,1245.0,10.67,8.43,-22.19,104.98,5-août-20
ONTBF,20200831,2900.0,6.55,13.35,7.21,387.17,10-juin-20
SDCC,20200831,3010.0,9.18,8.97,7.5,270.0,29-oct.-19
SNTS,20200831,12490.0,6.35,9.81,-26.51,1225.0,20-mai-20
BICC,20200831,5210.0,8.87,3.51,-23.38,182.9,17-juil.-19
BOAB,20200831,3700.0,5.0,11.78,2.49,436.0,15-mai-20
BOABF,20200831,3250.0,3.86,11.38,-14.25,370.0,4-mai-20
BOAC,20200831,2835.0,3.94,11.11,-29.04,315.0,15-juin-20
BOAM,20200831,960.0,,28.23,-16.52,271.0,15-mai-19
BOAN,20200831,3355.0,5.13,12.81,-0.89,429.66,20-mai-20
BOAS,20200831,1350.0,3.55,11.93,-12.62,161.0,19-juin-20
CBIBF,20200831,7405.0,8.56,5.67,-7.44,420.0,8-juil.-20
ECOC,20200831,3000.0,6.51,11.77,-24.81,353.0,20-juil.-20
ETIT,20200831,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20200831,3450.0,5.87,2.25,-46.68,77.69,27-juil.-20
ORGT,20200831,4095.0,15.51,1.45,-2.5,59.52,17-juil.-20
SAFC,20200831,300.0,,,-10.45,23.04,29-juil.-11
SGBC,20200831,6900.0,4.27,3.96,-10.39,273.0,29-juil.-20
SIBC,20200831,2500.0,4.46,10.8,-11.35,270.0,19-juin-20
SDSC,20200831,1340.0,7.77,13.73,-10.67,184.0,6-juin-19
PALC,20200831,1200.0,,,-34.07,253.47,24-sept.-18
SCRC,20200831,470.0,,,-22.31,72.0,28-sept.-18
SICC,20200831,1890.0,1.15,,-31.02,1919.0,25-sept.-00
SOGC,20200831,1750.0,8.36,7.2,-32.17,126.0,15-juil.-20
SPHC,20200831,1310.0,9.92,,0.0,78.0,27-sept.-18
ABJC,20200831,980.0,7.08,16.83,-21.6,164.96,30-sept.-19
BNBC,20200831,605.0,9.47,7.44,-13.57,45.0,19-juil.-19
CFAC,20200831,380.0,13.11,6.86,-12.64,26.07,25-août-20
PRSC,20200831,2795.0,16.72,5.4,9.46,159.3,1-sept.-20
SHEC,20200831,590.0,6.9,10.9,-26.25,64.29,2-août-19
TTLC,20200831,1320.0,8.13,8.21,-22.35,108.4,11-oct.-19
TTLS,20200831,1280.0,7.16,8.23,-24.71,105.3,29-juil.-19
STAC,20200831,185.0,2.87,,-24.49,,
CABC,20200930,880.0,8.17,8.52,39.68,75.0,29-juil.-20
FTSC,20200930,1130.0,8.59,11.06,-34.49,125.0,6-août-20
NEIC,20200930,150.0,3.26,,7.14,9.0,28-juin-01
NTLC,20200930,270.0,,,-31.65,31.5,12-août-11
SEMC,20200930,135.0,4.93,,3.85,16.92,29-sept.-17
SIVC,20200930,205.0,,,10.81,63.0,29-sept.-17
SLBC,20200930,46000.0,58.02,2.97,2.22,1368.0,6-juin-19
SMBC,20200930,2795.0,378.91,16.1,11.8,450.0,30-août-19
STBC,20200930,490.0,1.66,,-19.01,206.2,19-juin-17
UNLC,20200930,5130.0,,,7.43,1233.0,9-juil.-12
UNXC,20200930,785.0,5.26,23.16,-54.49,181.8,11-juil.-19
CIEC,20200930,1125.0,9.64,9.33,-29.69,104.98,5-août-20
ONTBF,20200930,2715.0,6.14,14.26,0.37,387.17,10-juin-20
SDCC,20200930,2795.0,8.52,10.47,-0.18,292.5,25-sept.-20
SNTS,20200930,11600.0,5.9,10.56,-31.74,1225.0,20-mai-20
BICC,20200930,5500.0,9.36,3.33,-19.12,182.9,17-juil.-19
BOAB,20200930,3495.0,4.72,12.47,-3.19,436.0,15-mai-20
BOABF,20200930,3200.0,3.8,11.56,-15.57,370.0,4-mai-20
BOAC,20200930,2810.0,3.91,11.21,-29.66,315.0,15-juin-20
BOAM,20200930,905.0,,29.94,-21.3,271.0,15-mai-19
BOAN,20200930,3600.0,5.5,11.94,6.35,429.66,20-mai-20
BOAS,20200930,1520.0,4.0,10.59,-1.62,161.0,19-juin-20
CBIBF,20200930,7450.0,8.61,5.64,-6.88,420.0,8-juil.-20
ECOC,20200930,3185.0,6.91,11.08,-20.18,353.0,20-juil.-20
ETIT,20200930,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20200930,3390.0,5.77,2.29,-47.6,77.69,27-juil.-20
ORGT,20200930,3970.0,15.04,1.5,-5.48,59.52,17-juil.-20
SAFC,20200930,295.0,,,-11.94,23.04,29-juil.-11
SGBC,20200930,6300.0,3.9,4.33,-18.18,273.0,29-juil.-20
SIBC,20200930,2640.0,4.7,10.23,-6.38,270.0,19-juin-20
SDSC,20200930,1185.0,6.87,15.53,-21.0,184.0,6-juin-19
PALC,20200930,1255.0,,,-31.04,253.47,24-sept.-18
SCRC,20200930,450.0,,,-25.62,72.0,28-sept.-18
SICC,20200930,1890.0,1.15,,-31.02,1919.0,25-sept.-00
SOGC,20200930,1825.0,8.72,6.9,-29.26,126.0,15-juil.-20
SPHC,20200930,1300.0,9.85,,-0.76,78.0,27-sept.-18
ABJC,20200930,850.0,6.14,19.41,-32.0,164.96,30-sept.-19
BNBC,20200930,545.0,27.55,8.26,-22.14,45.0,19-juil.-19
CFAC,20200930,365.0,12.6,7.14,-16.09,26.07,25-août-20
PRSC,20200930,2530.0,14.34,6.3,-6.12,159.3,1-sept.-20
SHEC,20200930,600.0,6.92,10.71,-25.0,64.29,2-août-19
TTLC,20200930,1260.0,7.76,9.01,-25.88,113.51,25-sept.-20
TTLS,20200930,1300.0,7.27,8.1,-23.53,105.3,29-juil.-19
STAC,20200930,260.0,4.04,,6.12,,
CABC,20201030,1200.0,11.14,6.25,90.48,75.0,29-juil.-20
FTSC,20201030,1315.0,10.0,9.51,-23.77,125.0,6-août-20
NEIC,20201030,155.0,3.37,,10.71,9.0,28-juin-01
NTLC,20201030,265.0,,,-32.91,31.5,12-août-11
SEMC,20201030,135.0,4.93,,3.85,16.92,29-sept.-17
SIVC,20201030,185.0,,,0.0,63.0,29-sept.-17
SLBC,20201030,45000.0,56.76,3.04,0.0,1368.0,6-juin-19
SMBC,20201030,3200.0,433.81,14.06,28.0,450.0,30-août-19
STBC,20201030,485.0,1.65,,-19.83,206.2,19-juin-17
UNLC,20201030,4500.0,,,-5.76,1233.0,9-juil.-12
UNXC,20201030,860.0,5.77,21.14,-50.14,181.8,11-juil.-19
CIEC,20201030,1200.0,10.28,8.75,-25.0,104.98,5-août-20
ONTBF,20201030,3000.0,6.78,12.91,10.91,387.17,10-juin-20
SDCC,20201030,2700.0,8.23,10.83,-3.57,292.5,25-sept.-20
SNTS,20201030,11500.0,5.84,10.65,-32.33,1225.0,20-mai-20
BICC,20201030,6500.0,11.06,2.81,-4.41,182.9,17-juil.-19
BOAB,20201030,3495.0,4.72,12.47,-3.19,436.0,15-mai-20
BOABF,20201030,3210.0,3.81,11.53,-15.3,370.0,4-mai-20
BOAC,20201030,2815.0,3.91,11.19,-29.54,315.0,15-juin-20
BOAM,20201030,1045.0,,25.93,-9.13,271.0,15-mai-19
BOAN,20201030,3300.0,5.05,13.02,-2.51,429.66,20-mai-20
BOAS,20201030,1350.0,3.55,11.93,-12.62,161.0,19-juin-20
CBIBF,20201030,7240.0,8.37,5.8,-9.5,420.0,8-juil.-20
ECOC,20201030,3400.0,7.38,10.38,-14.79,353.0,20-juil.-20
ETIT,20201030,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20201030,4000.0,6.81,1.94,-38.18,77.69,27-juil.-20
ORGT,20201030,3850.0,14.58,1.55,-7.23,59.52,17-juil.-20
SAFC,20201030,275.0,,,-17.91,23.04,29-juil.-11
SGBC,20201030,6950.0,4.3,3.93,-9.74,273.0,29-juil.-20
SIBC,20201030,2545.0,4.54,10.61,-9.75,270.0,19-juin-20
SDSC,20201030,1270.0,5.47,14.49,-15.33,184.0,6-juin-19
PALC,20201030,1460.0,,,-19.78,253.47,24-sept.-18
SCRC,20201030,450.0,,,-25.62,72.0,28-sept.-18
SICC,20201030,1750.0,1.06,,-36.13,1919.0,25-sept.-00
SOGC,20201030,2150.0,10.27,5.86,-16.67,126.0,15-juil.-20
SPHC,20201030,1350.0,10.14,,3.05,78.0,27-sept.-18
ABJC,20201030,825.0,5.87,20.0,-34.0,164.96,30-sept.-19
BNBC,20201030,620.0,31.35,7.26,-11.43,45.0,19-juil.-19
CFAC,20201030,350.0,12.08,7.45,-19.54,26.07,25-août-20
PRSC,20201030,2200.0,12.47,7.24,-18.37,159.3,1-sept.-20
SHEC,20201030,610.0,7.03,10.54,-23.75,64.29,2-août-19
TTLC,20201030,1200.0,7.39,9.46,-29.41,113.51,25-sept.-20
TTLS,20201030,1280.0,7.16,8.23,-24.71,105.3,29-juil.-19
STAC,20201030,260.0,4.04,,6.12,,
CABC,20201130,1025.0,9.51,7.32,62.7,75.0,29-juil.-20
FTSC,20201130,1490.0,11.33,8.39,-13.62,125.0,6-août-20
NEIC,20201130,125.0,2.71,,-10.71,9.0,28-juin-01
NTLC,20201130,320.0,,,-18.99,31.5,12-août-11
SEMC,20201130,140.0,5.11,,7.69,16.92,29-sept.-17
SIVC,20201130,200.0,,,8.11,63.0,29-sept.-17
SLBC,20201130,48245.0,60.85,2.84,7.21,1368.0,6-juin-19
SMBC,20201130,3095.0,419.58,14.54,23.8,450.0,30-août-19
STBC,20201130,475.0,1.61,,-21.49,206.2,19-juin-17
UNLC,20201130,4165.0,,,-12.77,1233.0,9-juil.-12
UNXC,20201130,1055.0,7.08,17.23,-38.84,181.8,11-juil.-19
CIEC,20201130,1370.0,11.74,7.66,-14.38,104.98,5-août-20
ONTBF,20201130,2750.0,6.22,14.08,1.66,387.17,10-juin-20
SDCC,20201130,2700.0,8.23,10.83,-3.57,292.5,25-sept.-20
SNTS,20201130,11200.0,5.69,10.94,-34.1,1225.0,20-mai-20
BICC,20201130,6385.0,,2.86,-6.1,182.9,17-juil.-19
BOAB,20201130,3690.0,4.99,11.82,2.22,436.0,15-mai-20
BOABF,20201130,3300.0,3.92,11.21,-12.93,370.0,4-mai-20
BOAC,20201130,3200.0,4.45,9.84,-19.9,315.0,15-juin-20
BOAM,20201130,1100.0,,24.64,-4.35,271.0,15-mai-19
BOAN,20201130,3305.0,5.05,13.0,-2.36,429.66,20-mai-20
BOAS,20201130,1330.0,3.5,12.11,-13.92,161.0,19-juin-20
CBIBF,20201130,7500.0,8.67,5.6,-6.25,420.0,8-juil.-20
ECOC,20201130,3370.0,7.31,10.47,-15.54,353.0,20-juil.-20
ETIT,20201130,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20201130,5300.0,9.02,1.47,-18.08,77.69,27-juil.-20
ORGT,20201130,3835.0,14.53,1.55,-7.59,59.52,17-juil.-20
SAFC,20201130,275.0,,,-17.91,23.04,29-juil.-11
SGBC,20201130,8490.0,5.26,3.22,10.26,273.0,29-juil.-20
SIBC,20201130,2600.0,4.63,10.38,-7.8,270.0,19-juin-20
SDSC,20201130,1275.0,5.5,14.43,-15.0,184.0,6-juin-19
PALC,20201130,1600.0,,,-12.09,253.47,24-sept.-18
SCRC,20201130,500.0,,,-17.36,72.0,28-sept.-18
SICC,20201130,1520.0,0.92,,-44.53,1919.0,25-sept.-00
SOGC,20201130,2180.0,10.42,5.78,-15.5,126.0,15-juil.-20
SPHC,20201130,1390.0,10.44,,6.11,78.0,27-sept.-18
ABJC,20201130,1005.0,7.15,16.41,-19.6,164.96,30-sept.-19
BNBC,20201130,600.0,30.34,7.5,-14.29,45.0,19-juil.-19
CFAC,20201130,370.0,12.77,7.05,-14.94,26.07,25-août-20
PRSC,20201130,2050.0,11.62,7.77,-23.93,159.3,1-sept.-20
SHEC,20201130,600.0,6.92,10.65,-25.0,63.9,26-nov.-20
TTLC,20201130,1185.0,7.3,9.58,-30.29,113.51,25-sept.-20
TTLS,20201130,1400.0,7.83,7.52,-17.65,105.3,29-juil.-19
STAC,20201130,275.0,4.27,,12.24,,
CABC,20201231,1010.0,9.37,7.43,60.32,75.0,29-juil.-20
FTSC,20201231,1610.0,12.24,7.76,-6.67,125.0,6-août-20
NEIC,20201231,230.0,4.99,,64.29,9.0,28-juin-01
NTLC,20201231,320.0,,,-18.99,31.5,12-août-11
SEMC,20201231,200.0,7.3,,53.85,16.92,29-sept.-17
SIVC,20201231,185.0,,,0.0,63.0,29-sept.-17
SLBC,20201231,50900.0,64.2,2.69,13.11,1368.0,6-juin-19
SMBC,20201231,3080.0,417.55,14.61,23.2,450.0,30-août-19
STBC,20201231,530.0,1.8,,-12.4,206.2,19-juin-17
UNLC,20201231,4165.0,,,-12.77,1233.0,9-juil.-12
UNXC,20201231,1000.0,6.71,18.18,-42.03,181.8,11-juil.-19
CIEC,20201231,1500.0,12.85,7.0,-6.25,104.98,5-août-20
ONTBF,20201231,2865.0,6.48,13.51,5.91,387.17,10-juin-20
SDCC,20201231,2990.0,9.11,9.78,6.79,292.5,25-sept.-20
SNTS,20201231,13500.0,6.86,9.07,-20.56,1225.0,20-mai-20
BICC,20201231,6680.0,,2.74,-1.76,182.9,17-juil.-19
BOAB,20201231,3695.0,5.0,11.8,2.35,436.0,15-mai-20
BOABF,20201231,3750.0,4.46,9.87,-1.06,370.0,4-mai-20
BOAC,20201231,3675.0,5.11,8.57,-8.01,315.0,15-juin-20
BOAM,20201231,1125.0,,24.09,-2.17,271.0,15-mai-19
BOAN,20201231,3500.0,5.35,12.28,3.4,429.66,20-mai-20
BOAS,20201231,1495.0,3.94,10.77,-3.24,161.0,19-juin-20
CBIBF,20201231,8100.0,9.36,5.19,1.25,420.0,8-juil.-20
ECOC,20201231,3895.0,8.45,9.06,-2.38,353.0,20-juil.-20
ETIT,20201231,13.0,1.46,,-7.14,1.21,28-avr.-17
NSBC,20201231,6000.0,10.21,1.29,-7.26,77.69,27-juil.-20
ORGT,20201231,4150.0,15.72,1.43,0.0,59.52,17-juil.-20
SAFC,20201231,280.0,,,-16.42,23.04,29-juil.-11
SGBC,20201231,8095.0,5.01,3.37,5.13,273.0,29-juil.-20
SIBC,20201231,2700.0,4.81,10.0,-4.26,270.0,19-juin-20
SDSC,20201231,1550.0,6.68,6.45,3.33,100.0,18-déc.-20
PALC,20201231,2250.0,,,23.63,253.47,24-sept.-18
SCRC,20201231,500.0,,,-17.36,72.0,28-sept.-18
SICC,20201231,1230.0,0.75,,-55.11,1919.0,25-sept.-00
SOGC,20201231,2350.0,11.23,5.36,-8.91,126.0,15-juil.-20
