sha256,nom_fichier,url,periode
ef904b5137acdb3ed8f4ef11614f16be83f9d9ed36d7feb5b78606e2df495132,b39f1a9d_20251027_-_rapport_dactivites_-_3eme_trimestre_2025_-_lnb_bn.pdf,https://www.brvm.org/sites/default/files/20251027_-_rapport_dactivites_-_3eme_trimestre_2025_-_lnb_bn.pdf,2025
f6bb4cd10920bae1b4699e014a9e51a9512d6b3e393809442598bdea3a997baa,81a40c23_20250926_-_rapport_dactivites_-_1er_semestre_2025_-_lnb_bn.pdf,https://www.brvm.org/sites/default/files/20250926_-_rapport_dactivites_-_1er_semestre_2025_-_lnb_bn.pdf,2025
33a041625ddcbb2d81f0e67159114ed42b4983fdeeab97c54dd7a5662d73b625,24d49a2f_20250602_-_rapport_dactivites_-_1er_trimestre_2025_-_lnb_bn.pdf,https://www.brvm.org/sites/default/files/20250602_-_rapport_dactivites_-_1er_trimestre_2025_-_lnb_bn.pdf,2025
9ef41b3e8345a49cc0a5ad833a970dfacb9ffe90a744d12b3e22ad938bc94694,0289c62a_20230428_-_rapport_dactivite_annuel_2022_-_sgci.pdf,https://www.brvm.org/sites/default/files/20230428_-_rapport_dactivite_annuel_2022_-_sgci.pdf,2023
883907f5966b8b993103d9f8f9947ac9380adc39ece019a2bb2821b1036bddc7,f7d96e07_20230428_-_rapport_dactivite_-_1er_trimestre_2023_-_sgci.pdf,https://www.brvm.org/sites/default/files/20230428_-_rapport_dactivite_-_1er_trimestre_2023_-_sgci.pdf,2023
96bd6d9293d20016f58d1164308f40d65c4e63bfe0f741c60b2a6197c4a1f09d,000c2902_rapport_dactivite_sgci_2022.pdf,https://www.brvm.org/sites/default/files/rapport_dactivite_sgci_2022.pdf,2022
9d297befd66b5713286a202094e2382bce6d7158d593b40353729eff648a917a,f7670449_20221031_-_rapport_dactivite_-_3eme_trimestre_2022_-_sgci.pdf,https://www.brvm.org/sites/default/files/20221031_-_rapport_dactivite_-_3eme_trimestre_2022_-_sgci.pdf,2022
6c4c977409c5bd7d930a4560ac7c2fbe14054139c05b8ce4e0d5b0fb43ea2f8e,381fd4e5_20220429_-_rapport_dactivite_-_1er_trimestre_2022_-_sgci_ci.pdf,https://www.brvm.org/sites/default/files/20220429_-_rapport_dactivite_-_1er_trimestre_2022_-_sgci_ci.pdf,2022
0a7fedbbe0751fa220a81535e0bc93029e885755fe82e275d4a0e0b6013428a1,aa3cabbf_20260427_-_rapport_dactivites_-_1er_trimestre_2026_-_sodeci.pdf,https://www.brvm.org/sites/default/files/20260427_-_rapport_dactivites_-_1er_trimestre_2026_-_sodeci.pdf,2026
0776bbc68f16e1a919852e9305974d68d4e41bfbf216cd13020283452c55c4f1,3fa8d0b8_20230427_-_rapport_dactivite_-_1er_trimestre_2023_-_sodeci.pdf,https://www.brvm.org/sites/default/files/20230427_-_rapport_dactivite_-_1er_trimestre_2023_-_sodeci.pdf,2023
8a6410356ce4a0c97cda9ffcbe4266f92f2fb39b5fa920079c30057f3c169e55,17bf3392_20221031_-_rapport_dactivite_-_1er_semestre_2022_-_sodeci.pdf,https://www.brvm.org/sites/default/files/20221031_-_rapport_dactivite_-_1er_semestre_2022_-_sodeci.pdf,2022
40f2e2d2de8ce8dc517dbbf6cefa31821787acd7f19531154d52096c7a31384b,68d81741_20221031_-_rapport_dactivite_-_3eme_trimestre_2022_-_sodeci.pdf,https://www.brvm.org/sites/default/files/20221031_-_rapport_dactivite_-_3eme_trimestre_2022_-_sodeci.pdf,2022
b443d487474f58298f287624f7ed386e15b234c6741933065e82e29a8fd7f210,199e332d_20220429_-_rapport_dactivite_-_1er_trimestre_2022_-_sodeci.pdf,https://www.brvm.org/sites/default/files/20220429_-_rapport_dactivite_-_1er_trimestre_2022_-_sodeci.pdf,2022
